Date,Median Days To Close,RegionID,RegionName,RegionType,SizeRank,StateName
2019-07-31,,394739,"Kendallville, IN",msa,627,IN
2019-08-31,,394739,"Kendallville, IN",msa,627,IN
2019-09-30,,394739,"Kendallville, IN",msa,627,IN
2019-10-31,,394739,"Kendallville, IN",msa,627,IN
2019-11-30,,394739,"Kendallville, IN",msa,627,IN
2019-12-31,,394739,"Kendallville, IN",msa,627,IN
2020-01-31,,394739,"Kendallville, IN",msa,627,IN
2020-02-29,,394739,"Kendallville, IN",msa,627,IN
2020-03-31,,394739,"Kendallville, IN",msa,627,IN
2020-04-30,,394739,"Kendallville, IN",msa,627,IN
2020-05-31,,394739,"Kendallville, IN",msa,627,IN
2020-06-30,,394739,"Kendallville, IN",msa,627,IN
2020-07-31,,394739,"Kendallville, IN",msa,627,IN
2020-08-31,,394739,"Kendallville, IN",msa,627,IN
2020-09-30,,394739,"Kendallville, IN",msa,627,IN
2020-10-31,,394739,"Kendallville, IN",msa,627,IN
2020-11-30,,394739,"Kendallville, IN",msa,627,IN
2020-12-31,,394739,"Kendallville, IN",msa,627,IN
2021-01-31,,394739,"Kendallville, IN",msa,627,IN
2021-02-28,,394739,"Kendallville, IN",msa,627,IN
2021-03-31,,394739,"Kendallville, IN",msa,627,IN
2021-04-30,,394739,"Kendallville, IN",msa,627,IN
2021-05-31,,394739,"Kendallville, IN",msa,627,IN
2021-06-30,,394739,"Kendallville, IN",msa,627,IN
2021-07-31,,394739,"Kendallville, IN",msa,627,IN
2021-08-31,,394739,"Kendallville, IN",msa,627,IN
2021-09-30,,394739,"Kendallville, IN",msa,627,IN
2021-10-31,,394739,"Kendallville, IN",msa,627,IN
2021-11-30,,394739,"Kendallville, IN",msa,627,IN
2021-12-31,,394739,"Kendallville, IN",msa,627,IN
2022-01-31,,394739,"Kendallville, IN",msa,627,IN
2022-02-28,,394739,"Kendallville, IN",msa,627,IN
2022-03-31,,394739,"Kendallville, IN",msa,627,IN
2022-04-30,,394739,"Kendallville, IN",msa,627,IN
2022-05-31,,394739,"Kendallville, IN",msa,627,IN
2022-06-30,,394739,"Kendallville, IN",msa,627,IN
2022-07-31,,394739,"Kendallville, IN",msa,627,IN
2022-08-31,,394739,"Kendallville, IN",msa,627,IN
2022-09-30,,394739,"Kendallville, IN",msa,627,IN
2022-10-31,,394739,"Kendallville, IN",msa,627,IN
2022-11-30,,394739,"Kendallville, IN",msa,627,IN
2022-12-31,,394739,"Kendallville, IN",msa,627,IN
2023-01-31,,394739,"Kendallville, IN",msa,627,IN
2023-02-28,,394739,"Kendallville, IN",msa,627,IN
2023-03-31,,394739,"Kendallville, IN",msa,627,IN
2023-04-30,,394739,"Kendallville, IN",msa,627,IN
2023-05-31,,394739,"Kendallville, IN",msa,627,IN
2023-06-30,,394739,"Kendallville, IN",msa,627,IN
2023-07-31,,394739,"Kendallville, IN",msa,627,IN
2023-08-31,,394739,"Kendallville, IN",msa,627,IN
2023-09-30,,394739,"Kendallville, IN",msa,627,IN
2023-10-31,,394739,"Kendallville, IN",msa,627,IN
2023-11-30,,394739,"Kendallville, IN",msa,627,IN
2023-12-31,,394739,"Kendallville, IN",msa,627,IN
2024-01-31,,394739,"Kendallville, IN",msa,627,IN
2024-02-29,,394739,"Kendallville, IN",msa,627,IN
2024-03-31,29.0,394739,"Kendallville, IN",msa,627,IN
2024-04-30,29.0,394739,"Kendallville, IN",msa,627,IN
2024-05-31,30.0,394739,"Kendallville, IN",msa,627,IN
2024-06-30,28.0,394739,"Kendallville, IN",msa,627,IN
2024-07-31,27.0,394739,"Kendallville, IN",msa,627,IN
2024-08-31,28.0,394739,"Kendallville, IN",msa,627,IN
2018-03-31,,394876,"Montrose, CO",msa,628,CO
2018-04-30,,394876,"Montrose, CO",msa,628,CO
2018-05-31,,394876,"Montrose, CO",msa,628,CO
2018-06-30,,394876,"Montrose, CO",msa,628,CO
2018-07-31,,394876,"Montrose, CO",msa,628,CO
2018-08-31,,394876,"Montrose, CO",msa,628,CO
2018-09-30,,394876,"Montrose, CO",msa,628,CO
2018-10-31,,394876,"Montrose, CO",msa,628,CO
2018-11-30,,394876,"Montrose, CO",msa,628,CO
2018-12-31,,394876,"Montrose, CO",msa,628,CO
2019-01-31,,394876,"Montrose, CO",msa,628,CO
2019-02-28,,394876,"Montrose, CO",msa,628,CO
2019-03-31,,394876,"Montrose, CO",msa,628,CO
2019-04-30,,394876,"Montrose, CO",msa,628,CO
2019-05-31,,394876,"Montrose, CO",msa,628,CO
2019-06-30,,394876,"Montrose, CO",msa,628,CO
2019-07-31,,394876,"Montrose, CO",msa,628,CO
2019-08-31,,394876,"Montrose, CO",msa,628,CO
2019-09-30,,394876,"Montrose, CO",msa,628,CO
2019-10-31,,394876,"Montrose, CO",msa,628,CO
2019-11-30,,394876,"Montrose, CO",msa,628,CO
2019-12-31,,394876,"Montrose, CO",msa,628,CO
2020-01-31,,394876,"Montrose, CO",msa,628,CO
2020-02-29,,394876,"Montrose, CO",msa,628,CO
2020-03-31,,394876,"Montrose, CO",msa,628,CO
2020-04-30,,394876,"Montrose, CO",msa,628,CO
2020-05-31,,394876,"Montrose, CO",msa,628,CO
2020-06-30,,394876,"Montrose, CO",msa,628,CO
2020-07-31,,394876,"Montrose, CO",msa,628,CO
2020-08-31,,394876,"Montrose, CO",msa,628,CO
2020-09-30,,394876,"Montrose, CO",msa,628,CO
2020-10-31,,394876,"Montrose, CO",msa,628,CO
2020-11-30,,394876,"Montrose, CO",msa,628,CO
2020-12-31,,394876,"Montrose, CO",msa,628,CO
2021-01-31,,394876,"Montrose, CO",msa,628,CO
2021-02-28,,394876,"Montrose, CO",msa,628,CO
2021-03-31,,394876,"Montrose, CO",msa,628,CO
2021-04-30,,394876,"Montrose, CO",msa,628,CO
2021-05-31,,394876,"Montrose, CO",msa,628,CO
2021-06-30,,394876,"Montrose, CO",msa,628,CO
2021-07-31,,394876,"Montrose, CO",msa,628,CO
2021-08-31,,394876,"Montrose, CO",msa,628,CO
2021-09-30,,394876,"Montrose, CO",msa,628,CO
2021-10-31,,394876,"Montrose, CO",msa,628,CO
2021-11-30,,394876,"Montrose, CO",msa,628,CO
2021-12-31,,394876,"Montrose, CO",msa,628,CO
2022-01-31,,394876,"Montrose, CO",msa,628,CO
2022-02-28,,394876,"Montrose, CO",msa,628,CO
2022-03-31,,394876,"Montrose, CO",msa,628,CO
2022-04-30,,394876,"Montrose, CO",msa,628,CO
2022-05-31,,394876,"Montrose, CO",msa,628,CO
2022-06-30,,394876,"Montrose, CO",msa,628,CO
2022-07-31,,394876,"Montrose, CO",msa,628,CO
2022-08-31,,394876,"Montrose, CO",msa,628,CO
2022-09-30,,394876,"Montrose, CO",msa,628,CO
2022-10-31,,394876,"Montrose, CO",msa,628,CO
2022-11-30,,394876,"Montrose, CO",msa,628,CO
2022-12-31,,394876,"Montrose, CO",msa,628,CO
2023-01-31,,394876,"Montrose, CO",msa,628,CO
2023-02-28,,394876,"Montrose, CO",msa,628,CO
2023-03-31,,394876,"Montrose, CO",msa,628,CO
2023-04-30,,394876,"Montrose, CO",msa,628,CO
2023-05-31,,394876,"Montrose, CO",msa,628,CO
2023-06-30,,394876,"Montrose, CO",msa,628,CO
2023-07-31,,394876,"Montrose, CO",msa,628,CO
2023-08-31,,394876,"Montrose, CO",msa,628,CO
2023-09-30,,394876,"Montrose, CO",msa,628,CO
2023-10-31,,394876,"Montrose, CO",msa,628,CO
2023-11-30,,394876,"Montrose, CO",msa,628,CO
2023-12-31,,394876,"Montrose, CO",msa,628,CO
2024-01-31,,394876,"Montrose, CO",msa,628,CO
2024-02-29,35.0,394876,"Montrose, CO",msa,628,CO
2024-03-31,35.0,394876,"Montrose, CO",msa,628,CO
2024-04-30,35.0,394876,"Montrose, CO",msa,628,CO
2024-05-31,34.0,394876,"Montrose, CO",msa,628,CO
2024-06-30,36.0,394876,"Montrose, CO",msa,628,CO
2024-07-31,36.0,394876,"Montrose, CO",msa,628,CO
2024-08-31,34.0,394876,"Montrose, CO",msa,628,CO
2018-03-31,,394887,"Mount Sterling, KY",msa,630,KY
2018-04-30,,394887,"Mount Sterling, KY",msa,630,KY
2018-05-31,,394887,"Mount Sterling, KY",msa,630,KY
2018-06-30,,394887,"Mount Sterling, KY",msa,630,KY
2018-07-31,,394887,"Mount Sterling, KY",msa,630,KY
2018-08-31,,394887,"Mount Sterling, KY",msa,630,KY
2018-09-30,,394887,"Mount Sterling, KY",msa,630,KY
2018-10-31,,394887,"Mount Sterling, KY",msa,630,KY
2018-11-30,,394887,"Mount Sterling, KY",msa,630,KY
2018-12-31,,394887,"Mount Sterling, KY",msa,630,KY
2019-01-31,,394887,"Mount Sterling, KY",msa,630,KY
2019-02-28,34.0,394887,"Mount Sterling, KY",msa,630,KY
2019-03-31,34.0,394887,"Mount Sterling, KY",msa,630,KY
2019-04-30,36.0,394887,"Mount Sterling, KY",msa,630,KY
2019-05-31,37.0,394887,"Mount Sterling, KY",msa,630,KY
2019-06-30,37.0,394887,"Mount Sterling, KY",msa,630,KY
2019-07-31,40.0,394887,"Mount Sterling, KY",msa,630,KY
2019-08-31,40.0,394887,"Mount Sterling, KY",msa,630,KY
2019-09-30,41.0,394887,"Mount Sterling, KY",msa,630,KY
2019-10-31,37.0,394887,"Mount Sterling, KY",msa,630,KY
2019-11-30,38.0,394887,"Mount Sterling, KY",msa,630,KY
2019-12-31,39.0,394887,"Mount Sterling, KY",msa,630,KY
2020-01-31,40.0,394887,"Mount Sterling, KY",msa,630,KY
2020-02-29,38.0,394887,"Mount Sterling, KY",msa,630,KY
2020-03-31,37.0,394887,"Mount Sterling, KY",msa,630,KY
2020-04-30,38.0,394887,"Mount Sterling, KY",msa,630,KY
2020-05-31,38.0,394887,"Mount Sterling, KY",msa,630,KY
2020-06-30,41.0,394887,"Mount Sterling, KY",msa,630,KY
2020-07-31,40.0,394887,"Mount Sterling, KY",msa,630,KY
2020-08-31,42.0,394887,"Mount Sterling, KY",msa,630,KY
2020-09-30,40.0,394887,"Mount Sterling, KY",msa,630,KY
2020-10-31,40.0,394887,"Mount Sterling, KY",msa,630,KY
2020-11-30,40.0,394887,"Mount Sterling, KY",msa,630,KY
2020-12-31,41.0,394887,"Mount Sterling, KY",msa,630,KY
2021-01-31,44.0,394887,"Mount Sterling, KY",msa,630,KY
2021-02-28,44.0,394887,"Mount Sterling, KY",msa,630,KY
2021-03-31,43.0,394887,"Mount Sterling, KY",msa,630,KY
2021-04-30,38.0,394887,"Mount Sterling, KY",msa,630,KY
2021-05-31,38.0,394887,"Mount Sterling, KY",msa,630,KY
2021-06-30,37.0,394887,"Mount Sterling, KY",msa,630,KY
2021-07-31,40.0,394887,"Mount Sterling, KY",msa,630,KY
2021-08-31,40.0,394887,"Mount Sterling, KY",msa,630,KY
2021-09-30,40.0,394887,"Mount Sterling, KY",msa,630,KY
2021-10-31,37.0,394887,"Mount Sterling, KY",msa,630,KY
2021-11-30,38.0,394887,"Mount Sterling, KY",msa,630,KY
2021-12-31,37.0,394887,"Mount Sterling, KY",msa,630,KY
2022-01-31,39.0,394887,"Mount Sterling, KY",msa,630,KY
2022-02-28,38.0,394887,"Mount Sterling, KY",msa,630,KY
2022-03-31,38.0,394887,"Mount Sterling, KY",msa,630,KY
2022-04-30,35.0,394887,"Mount Sterling, KY",msa,630,KY
2022-05-31,35.0,394887,"Mount Sterling, KY",msa,630,KY
2022-06-30,34.0,394887,"Mount Sterling, KY",msa,630,KY
2022-07-31,35.0,394887,"Mount Sterling, KY",msa,630,KY
2022-08-31,34.0,394887,"Mount Sterling, KY",msa,630,KY
2022-09-30,36.0,394887,"Mount Sterling, KY",msa,630,KY
2022-10-31,36.0,394887,"Mount Sterling, KY",msa,630,KY
2022-11-30,36.0,394887,"Mount Sterling, KY",msa,630,KY
2022-12-31,35.0,394887,"Mount Sterling, KY",msa,630,KY
2023-01-31,34.0,394887,"Mount Sterling, KY",msa,630,KY
2023-02-28,34.0,394887,"Mount Sterling, KY",msa,630,KY
2023-03-31,33.0,394887,"Mount Sterling, KY",msa,630,KY
2023-04-30,33.0,394887,"Mount Sterling, KY",msa,630,KY
2023-05-31,32.0,394887,"Mount Sterling, KY",msa,630,KY
2023-06-30,34.0,394887,"Mount Sterling, KY",msa,630,KY
2023-07-31,35.0,394887,"Mount Sterling, KY",msa,630,KY
2023-08-31,37.0,394887,"Mount Sterling, KY",msa,630,KY
2023-09-30,36.0,394887,"Mount Sterling, KY",msa,630,KY
2023-10-31,34.0,394887,"Mount Sterling, KY",msa,630,KY
2023-11-30,33.0,394887,"Mount Sterling, KY",msa,630,KY
2023-12-31,33.0,394887,"Mount Sterling, KY",msa,630,KY
2024-01-31,34.0,394887,"Mount Sterling, KY",msa,630,KY
2024-02-29,34.0,394887,"Mount Sterling, KY",msa,630,KY
2024-03-31,34.0,394887,"Mount Sterling, KY",msa,630,KY
2024-04-30,33.0,394887,"Mount Sterling, KY",msa,630,KY
2024-05-31,30.0,394887,"Mount Sterling, KY",msa,630,KY
2024-06-30,32.0,394887,"Mount Sterling, KY",msa,630,KY
2024-07-31,33.0,394887,"Mount Sterling, KY",msa,630,KY
2024-08-31,34.0,394887,"Mount Sterling, KY",msa,630,KY
2018-03-31,,394477,"Clinton, IA",msa,631,IA
2018-04-30,,394477,"Clinton, IA",msa,631,IA
2018-05-31,,394477,"Clinton, IA",msa,631,IA
2018-06-30,,394477,"Clinton, IA",msa,631,IA
2018-07-31,,394477,"Clinton, IA",msa,631,IA
2018-08-31,,394477,"Clinton, IA",msa,631,IA
2018-09-30,,394477,"Clinton, IA",msa,631,IA
2018-10-31,,394477,"Clinton, IA",msa,631,IA
2018-11-30,,394477,"Clinton, IA",msa,631,IA
2018-12-31,,394477,"Clinton, IA",msa,631,IA
2019-01-31,,394477,"Clinton, IA",msa,631,IA
2019-02-28,,394477,"Clinton, IA",msa,631,IA
2019-03-31,,394477,"Clinton, IA",msa,631,IA
2019-04-30,,394477,"Clinton, IA",msa,631,IA
2019-05-31,,394477,"Clinton, IA",msa,631,IA
2019-06-30,,394477,"Clinton, IA",msa,631,IA
2019-07-31,,394477,"Clinton, IA",msa,631,IA
2019-08-31,,394477,"Clinton, IA",msa,631,IA
2019-09-30,,394477,"Clinton, IA",msa,631,IA
2019-10-31,,394477,"Clinton, IA",msa,631,IA
2019-11-30,,394477,"Clinton, IA",msa,631,IA
2019-12-31,,394477,"Clinton, IA",msa,631,IA
2020-01-31,,394477,"Clinton, IA",msa,631,IA
2020-02-29,,394477,"Clinton, IA",msa,631,IA
2020-03-31,,394477,"Clinton, IA",msa,631,IA
2020-04-30,,394477,"Clinton, IA",msa,631,IA
2020-05-31,40.0,394477,"Clinton, IA",msa,631,IA
2020-06-30,43.0,394477,"Clinton, IA",msa,631,IA
2020-07-31,43.0,394477,"Clinton, IA",msa,631,IA
2020-08-31,42.0,394477,"Clinton, IA",msa,631,IA
2020-09-30,42.0,394477,"Clinton, IA",msa,631,IA
2020-10-31,41.0,394477,"Clinton, IA",msa,631,IA
2020-11-30,39.0,394477,"Clinton, IA",msa,631,IA
2020-12-31,39.0,394477,"Clinton, IA",msa,631,IA
2021-01-31,39.0,394477,"Clinton, IA",msa,631,IA
2021-02-28,39.0,394477,"Clinton, IA",msa,631,IA
2021-03-31,39.0,394477,"Clinton, IA",msa,631,IA
2021-04-30,40.0,394477,"Clinton, IA",msa,631,IA
2021-05-31,40.0,394477,"Clinton, IA",msa,631,IA
2021-06-30,39.0,394477,"Clinton, IA",msa,631,IA
2021-07-31,40.0,394477,"Clinton, IA",msa,631,IA
2021-08-31,41.0,394477,"Clinton, IA",msa,631,IA
2021-09-30,41.0,394477,"Clinton, IA",msa,631,IA
2021-10-31,40.0,394477,"Clinton, IA",msa,631,IA
2021-11-30,39.0,394477,"Clinton, IA",msa,631,IA
2021-12-31,38.0,394477,"Clinton, IA",msa,631,IA
2022-01-31,37.0,394477,"Clinton, IA",msa,631,IA
2022-02-28,36.0,394477,"Clinton, IA",msa,631,IA
2022-03-31,37.0,394477,"Clinton, IA",msa,631,IA
2022-04-30,37.0,394477,"Clinton, IA",msa,631,IA
2022-05-31,38.0,394477,"Clinton, IA",msa,631,IA
2022-06-30,37.0,394477,"Clinton, IA",msa,631,IA
2022-07-31,36.0,394477,"Clinton, IA",msa,631,IA
2022-08-31,35.0,394477,"Clinton, IA",msa,631,IA
2022-09-30,35.0,394477,"Clinton, IA",msa,631,IA
2022-10-31,35.0,394477,"Clinton, IA",msa,631,IA
2022-11-30,35.0,394477,"Clinton, IA",msa,631,IA
2022-12-31,33.0,394477,"Clinton, IA",msa,631,IA
2023-01-31,33.0,394477,"Clinton, IA",msa,631,IA
2023-02-28,34.0,394477,"Clinton, IA",msa,631,IA
2023-03-31,33.0,394477,"Clinton, IA",msa,631,IA
2023-04-30,33.0,394477,"Clinton, IA",msa,631,IA
2023-05-31,34.0,394477,"Clinton, IA",msa,631,IA
2023-06-30,37.0,394477,"Clinton, IA",msa,631,IA
2023-07-31,38.0,394477,"Clinton, IA",msa,631,IA
2023-08-31,37.0,394477,"Clinton, IA",msa,631,IA
2023-09-30,37.0,394477,"Clinton, IA",msa,631,IA
2023-10-31,37.0,394477,"Clinton, IA",msa,631,IA
2023-11-30,37.0,394477,"Clinton, IA",msa,631,IA
2023-12-31,36.0,394477,"Clinton, IA",msa,631,IA
2024-01-31,36.0,394477,"Clinton, IA",msa,631,IA
2024-02-29,36.0,394477,"Clinton, IA",msa,631,IA
2024-03-31,35.0,394477,"Clinton, IA",msa,631,IA
2024-04-30,35.0,394477,"Clinton, IA",msa,631,IA
2024-05-31,35.0,394477,"Clinton, IA",msa,631,IA
2024-06-30,37.0,394477,"Clinton, IA",msa,631,IA
2024-07-31,35.0,394477,"Clinton, IA",msa,631,IA
2024-08-31,35.0,394477,"Clinton, IA",msa,631,IA
2018-03-31,,753916,"Sandpoint, ID",msa,632,ID
2018-04-30,,753916,"Sandpoint, ID",msa,632,ID
2018-05-31,,753916,"Sandpoint, ID",msa,632,ID
2018-06-30,,753916,"Sandpoint, ID",msa,632,ID
2018-07-31,,753916,"Sandpoint, ID",msa,632,ID
2018-08-31,,753916,"Sandpoint, ID",msa,632,ID
2018-09-30,,753916,"Sandpoint, ID",msa,632,ID
2018-10-31,,753916,"Sandpoint, ID",msa,632,ID
2018-11-30,,753916,"Sandpoint, ID",msa,632,ID
2018-12-31,,753916,"Sandpoint, ID",msa,632,ID
2019-01-31,,753916,"Sandpoint, ID",msa,632,ID
2019-02-28,,753916,"Sandpoint, ID",msa,632,ID
2019-03-31,,753916,"Sandpoint, ID",msa,632,ID
2019-04-30,,753916,"Sandpoint, ID",msa,632,ID
2019-05-31,,753916,"Sandpoint, ID",msa,632,ID
2019-06-30,,753916,"Sandpoint, ID",msa,632,ID
2019-07-31,,753916,"Sandpoint, ID",msa,632,ID
2019-08-31,,753916,"Sandpoint, ID",msa,632,ID
2019-09-30,,753916,"Sandpoint, ID",msa,632,ID
2019-10-31,,753916,"Sandpoint, ID",msa,632,ID
2019-11-30,,753916,"Sandpoint, ID",msa,632,ID
2019-12-31,,753916,"Sandpoint, ID",msa,632,ID
2020-01-31,,753916,"Sandpoint, ID",msa,632,ID
2020-02-29,,753916,"Sandpoint, ID",msa,632,ID
2020-03-31,,753916,"Sandpoint, ID",msa,632,ID
2020-04-30,,753916,"Sandpoint, ID",msa,632,ID
2020-05-31,,753916,"Sandpoint, ID",msa,632,ID
2020-06-30,,753916,"Sandpoint, ID",msa,632,ID
2020-07-31,,753916,"Sandpoint, ID",msa,632,ID
2020-08-31,,753916,"Sandpoint, ID",msa,632,ID
2020-09-30,,753916,"Sandpoint, ID",msa,632,ID
2020-10-31,,753916,"Sandpoint, ID",msa,632,ID
2020-11-30,,753916,"Sandpoint, ID",msa,632,ID
2020-12-31,,753916,"Sandpoint, ID",msa,632,ID
2021-01-31,,753916,"Sandpoint, ID",msa,632,ID
2021-02-28,,753916,"Sandpoint, ID",msa,632,ID
2021-03-31,,753916,"Sandpoint, ID",msa,632,ID
2021-04-30,26.0,753916,"Sandpoint, ID",msa,632,ID
2021-05-31,24.0,753916,"Sandpoint, ID",msa,632,ID
2021-06-30,31.0,753916,"Sandpoint, ID",msa,632,ID
2021-07-31,37.0,753916,"Sandpoint, ID",msa,632,ID
2021-08-31,36.0,753916,"Sandpoint, ID",msa,632,ID
2021-09-30,37.0,753916,"Sandpoint, ID",msa,632,ID
2021-10-31,36.0,753916,"Sandpoint, ID",msa,632,ID
2021-11-30,39.0,753916,"Sandpoint, ID",msa,632,ID
2021-12-31,39.0,753916,"Sandpoint, ID",msa,632,ID
2022-01-31,41.0,753916,"Sandpoint, ID",msa,632,ID
2022-02-28,41.0,753916,"Sandpoint, ID",msa,632,ID
2022-03-31,39.0,753916,"Sandpoint, ID",msa,632,ID
2022-04-30,35.0,753916,"Sandpoint, ID",msa,632,ID
2022-05-31,34.0,753916,"Sandpoint, ID",msa,632,ID
2022-06-30,34.0,753916,"Sandpoint, ID",msa,632,ID
2022-07-31,32.0,753916,"Sandpoint, ID",msa,632,ID
2022-08-31,31.0,753916,"Sandpoint, ID",msa,632,ID
2022-09-30,30.0,753916,"Sandpoint, ID",msa,632,ID
2022-10-31,30.0,753916,"Sandpoint, ID",msa,632,ID
2022-11-30,31.0,753916,"Sandpoint, ID",msa,632,ID
2022-12-31,32.0,753916,"Sandpoint, ID",msa,632,ID
2023-01-31,34.0,753916,"Sandpoint, ID",msa,632,ID
2023-02-28,34.0,753916,"Sandpoint, ID",msa,632,ID
2023-03-31,33.0,753916,"Sandpoint, ID",msa,632,ID
2023-04-30,31.0,753916,"Sandpoint, ID",msa,632,ID
2023-05-31,30.0,753916,"Sandpoint, ID",msa,632,ID
2023-06-30,30.0,753916,"Sandpoint, ID",msa,632,ID
2023-07-31,31.0,753916,"Sandpoint, ID",msa,632,ID
2023-08-31,32.0,753916,"Sandpoint, ID",msa,632,ID
2023-09-30,33.0,753916,"Sandpoint, ID",msa,632,ID
2023-10-31,32.0,753916,"Sandpoint, ID",msa,632,ID
2023-11-30,31.0,753916,"Sandpoint, ID",msa,632,ID
2023-12-31,32.0,753916,"Sandpoint, ID",msa,632,ID
2024-01-31,36.0,753916,"Sandpoint, ID",msa,632,ID
2024-02-29,37.0,753916,"Sandpoint, ID",msa,632,ID
2024-03-31,37.0,753916,"Sandpoint, ID",msa,632,ID
2024-04-30,33.0,753916,"Sandpoint, ID",msa,632,ID
2024-05-31,31.0,753916,"Sandpoint, ID",msa,632,ID
2024-06-30,29.0,753916,"Sandpoint, ID",msa,632,ID
2024-07-31,30.0,753916,"Sandpoint, ID",msa,632,ID
2024-08-31,32.0,753916,"Sandpoint, ID",msa,632,ID
2018-03-31,,753865,"Bardstown, KY",msa,633,KY
2018-04-30,,753865,"Bardstown, KY",msa,633,KY
2018-05-31,,753865,"Bardstown, KY",msa,633,KY
2018-06-30,,753865,"Bardstown, KY",msa,633,KY
2018-07-31,,753865,"Bardstown, KY",msa,633,KY
2018-08-31,,753865,"Bardstown, KY",msa,633,KY
2018-09-30,,753865,"Bardstown, KY",msa,633,KY
2018-10-31,,753865,"Bardstown, KY",msa,633,KY
2018-11-30,,753865,"Bardstown, KY",msa,633,KY
2018-12-31,,753865,"Bardstown, KY",msa,633,KY
2019-01-31,,753865,"Bardstown, KY",msa,633,KY
2019-02-28,,753865,"Bardstown, KY",msa,633,KY
2019-03-31,,753865,"Bardstown, KY",msa,633,KY
2019-04-30,,753865,"Bardstown, KY",msa,633,KY
2019-05-31,,753865,"Bardstown, KY",msa,633,KY
2019-06-30,,753865,"Bardstown, KY",msa,633,KY
2019-07-31,,753865,"Bardstown, KY",msa,633,KY
2019-08-31,,753865,"Bardstown, KY",msa,633,KY
2019-09-30,,753865,"Bardstown, KY",msa,633,KY
2019-10-31,,753865,"Bardstown, KY",msa,633,KY
2019-11-30,,753865,"Bardstown, KY",msa,633,KY
2019-12-31,,753865,"Bardstown, KY",msa,633,KY
2020-01-31,,753865,"Bardstown, KY",msa,633,KY
2020-02-29,,753865,"Bardstown, KY",msa,633,KY
2020-03-31,,753865,"Bardstown, KY",msa,633,KY
2020-04-30,,753865,"Bardstown, KY",msa,633,KY
2020-05-31,,753865,"Bardstown, KY",msa,633,KY
2020-06-30,,753865,"Bardstown, KY",msa,633,KY
2020-07-31,,753865,"Bardstown, KY",msa,633,KY
2020-08-31,,753865,"Bardstown, KY",msa,633,KY
2020-09-30,,753865,"Bardstown, KY",msa,633,KY
2020-10-31,,753865,"Bardstown, KY",msa,633,KY
2020-11-30,,753865,"Bardstown, KY",msa,633,KY
2020-12-31,,753865,"Bardstown, KY",msa,633,KY
2021-01-31,,753865,"Bardstown, KY",msa,633,KY
2021-02-28,,753865,"Bardstown, KY",msa,633,KY
2021-03-31,,753865,"Bardstown, KY",msa,633,KY
2021-04-30,,753865,"Bardstown, KY",msa,633,KY
2021-05-31,,753865,"Bardstown, KY",msa,633,KY
2021-06-30,,753865,"Bardstown, KY",msa,633,KY
2021-07-31,,753865,"Bardstown, KY",msa,633,KY
2021-08-31,,753865,"Bardstown, KY",msa,633,KY
2021-09-30,,753865,"Bardstown, KY",msa,633,KY
2021-10-31,,753865,"Bardstown, KY",msa,633,KY
2021-11-30,,753865,"Bardstown, KY",msa,633,KY
2021-12-31,,753865,"Bardstown, KY",msa,633,KY
2022-01-31,,753865,"Bardstown, KY",msa,633,KY
2022-02-28,,753865,"Bardstown, KY",msa,633,KY
2022-03-31,,753865,"Bardstown, KY",msa,633,KY
2022-04-30,,753865,"Bardstown, KY",msa,633,KY
2022-05-31,,753865,"Bardstown, KY",msa,633,KY
2022-06-30,,753865,"Bardstown, KY",msa,633,KY
2022-07-31,,753865,"Bardstown, KY",msa,633,KY
2022-08-31,,753865,"Bardstown, KY",msa,633,KY
2022-09-30,,753865,"Bardstown, KY",msa,633,KY
2022-10-31,,753865,"Bardstown, KY",msa,633,KY
2022-11-30,,753865,"Bardstown, KY",msa,633,KY
2022-12-31,,753865,"Bardstown, KY",msa,633,KY
2023-01-31,,753865,"Bardstown, KY",msa,633,KY
2023-02-28,,753865,"Bardstown, KY",msa,633,KY
2023-03-31,,753865,"Bardstown, KY",msa,633,KY
2023-04-30,,753865,"Bardstown, KY",msa,633,KY
2023-05-31,,753865,"Bardstown, KY",msa,633,KY
2023-06-30,,753865,"Bardstown, KY",msa,633,KY
2023-07-31,,753865,"Bardstown, KY",msa,633,KY
2023-08-31,,753865,"Bardstown, KY",msa,633,KY
2023-09-30,,753865,"Bardstown, KY",msa,633,KY
2023-10-31,,753865,"Bardstown, KY",msa,633,KY
2023-11-30,,753865,"Bardstown, KY",msa,633,KY
2023-12-31,34.0,753865,"Bardstown, KY",msa,633,KY
2024-01-31,35.0,753865,"Bardstown, KY",msa,633,KY
2024-02-29,32.0,753865,"Bardstown, KY",msa,633,KY
2024-03-31,33.0,753865,"Bardstown, KY",msa,633,KY
2024-04-30,32.0,753865,"Bardstown, KY",msa,633,KY
2024-05-31,33.0,753865,"Bardstown, KY",msa,633,KY
2024-06-30,33.0,753865,"Bardstown, KY",msa,633,KY
2024-07-31,31.0,753865,"Bardstown, KY",msa,633,KY
2024-08-31,32.0,753865,"Bardstown, KY",msa,633,KY
2018-03-31,,394789,"Lewistown, PA",msa,636,PA
2018-04-30,,394789,"Lewistown, PA",msa,636,PA
2018-05-31,,394789,"Lewistown, PA",msa,636,PA
2018-06-30,,394789,"Lewistown, PA",msa,636,PA
2018-07-31,,394789,"Lewistown, PA",msa,636,PA
2018-08-31,,394789,"Lewistown, PA",msa,636,PA
2018-09-30,,394789,"Lewistown, PA",msa,636,PA
2018-10-31,,394789,"Lewistown, PA",msa,636,PA
